Instance,SepalLength,SepalWidth,PetalLength,PetalWidth,Cluster
0,5.1,3.5,1.4,0.2,cluster1
1,4.9,3,1.4,0.2,cluster1
2,4.7,3.2,1.3,0.2,cluster1
3,4.6,3.1,1.5,0.2,cluster1
4,5,3.6,1.4,0.2,cluster1
5,5.4,3.9,1.7,0.4,cluster1
6,4.6,3.4,1.4,0.3,cluster1
7,5,3.4,1.5,0.2,cluster1
8,4.4,2.9,1.4,0.2,cluster1
9,4.9,3.1,1.5,0.1,cluster1
10,5.4,3.7,1.5,0.2,cluster1
11,4.8,3.4,1.6,0.2,cluster1
12,4.8,3,1.4,0.1,cluster1
13,4.3,3,1.1,0.1,cluster1
14,5.8,4,1.2,0.2,cluster1
15,5.7,4.4,1.5,0.4,cluster1
16,5.4,3.9,1.3,0.4,cluster1
17,5.1,3.5,1.4,0.3,cluster1
18,5.7,3.8,1.7,0.3,cluster1
19,5.1,3.8,1.5,0.3,cluster1
20,5.4,3.4,1.7,0.2,cluster1
21,5.1,3.7,1.5,0.4,cluster1
22,4.6,3.6,1,0.2,cluster1
23,5.1,3.3,1.7,0.5,cluster1
24,4.8,3.4,1.9,0.2,cluster1
25,5,3,1.6,0.2,cluster1
26,5,3.4,1.6,0.4,cluster1
27,5.2,3.5,1.5,0.2,cluster1
28,5.2,3.4,1.4,0.2,cluster1
29,4.7,3.2,1.6,0.2,cluster1
30,4.8,3.1,1.6,0.2,cluster1
31,5.4,3.4,1.5,0.4,cluster1
32,5.2,4.1,1.5,0.1,cluster1
33,5.5,4.2,1.4,0.2,cluster1
34,4.9,3.1,1.5,0.1,cluster1
35,5,3.2,1.2,0.2,cluster1
36,5.5,3.5,1.3,0.2,cluster1
37,4.9,3.1,1.5,0.1,cluster1
38,4.4,3,1.3,0.2,cluster1
39,5.1,3.4,1.5,0.2,cluster1
40,5,3.5,1.3,0.3,cluster1
41,4.5,2.3,1.3,0.3,cluster1
42,4.4,3.2,1.3,0.2,cluster1
43,5,3.5,1.6,0.6,cluster1
44,5.1,3.8,1.9,0.4,cluster1
45,4.8,3,1.4,0.3,cluster1
46,5.1,3.8,1.6,0.2,cluster1
47,4.6,3.2,1.4,0.2,cluster1
48,5.3,3.7,1.5,0.2,cluster1
49,5,3.3,1.4,0.2,cluster1
50,7,3.2,4.7,1.4,cluster2
51,6.4,3.2,4.5,1.5,cluster0
52,6.9,3.1,4.9,1.5,cluster2
53,5.5,2.3,4,1.3,cluster0
54,6.5,2.8,4.6,1.5,cluster0
55,5.7,2.8,4.5,1.3,cluster0
56,6.3,3.3,4.7,1.6,cluster0
57,4.9,2.4,3.3,1,cluster0
58,6.6,2.9,4.6,1.3,cluster0
59,5.2,2.7,3.9,1.4,cluster0
60,5,2,3.5,1,cluster0
61,5.9,3,4.2,1.5,cluster0
62,6,2.2,4,1,cluster0
63,6.1,2.9,4.7,1.4,cluster0
64,5.6,2.9,3.6,1.3,cluster0
65,6.7,3.1,4.4,1.4,cluster0
66,5.6,3,4.5,1.5,cluster0
67,5.8,2.7,4.1,1,cluster0
68,6.2,2.2,4.5,1.5,cluster0
69,5.6,2.5,3.9,1.1,cluster0
70,5.9,3.2,4.8,1.8,cluster0
71,6.1,2.8,4,1.3,cluster0
72,6.3,2.5,4.9,1.5,cluster0
73,6.1,2.8,4.7,1.2,cluster0
74,6.4,2.9,4.3,1.3,cluster0
75,6.6,3,4.4,1.4,cluster0
76,6.8,2.8,4.8,1.4,cluster0
77,6.7,3,5,1.7,cluster2
78,6,2.9,4.5,1.5,cluster0
79,5.7,2.6,3.5,1,cluster0
80,5.5,2.4,3.8,1.1,cluster0
81,5.5,2.4,3.7,1,cluster0
82,5.8,2.7,3.9,1.2,cluster0
83,6,2.7,5.1,1.6,cluster0
84,5.4,3,4.5,1.5,cluster0
85,6,3.4,4.5,1.6,cluster0
86,6.7,3.1,4.7,1.5,cluster0
87,6.3,2.3,4.4,1.3,cluster0
88,5.6,3,4.1,1.3,cluster0
89,5.5,2.5,4,1.3,cluster0
90,5.5,2.6,4.4,1.2,cluster0
91,6.1,3,4.6,1.4,cluster0
92,5.8,2.6,4,1.2,cluster0
93,5,2.3,3.3,1,cluster0
94,5.6,2.7,4.2,1.3,cluster0
95,5.7,3,4.2,1.2,cluster0
96,5.7,2.9,4.2,1.3,cluster0
97,6.2,2.9,4.3,1.3,cluster0
98,5.1,2.5,3,1.1,cluster0
99,5.7,2.8,4.1,1.3,cluster0
100,6.3,3.3,6,2.5,cluster2
101,5.8,2.7,5.1,1.9,cluster0
102,7.1,3,5.9,2.1,cluster2
103,6.3,2.9,5.6,1.8,cluster2
104,6.5,3,5.8,2.2,cluster2
105,7.6,3,6.6,2.1,cluster2
106,4.9,2.5,4.5,1.7,cluster0
107,7.3,2.9,6.3,1.8,cluster2
108,6.7,2.5,5.8,1.8,cluster2
109,7.2,3.6,6.1,2.5,cluster2
110,6.5,3.2,5.1,2,cluster2
111,6.4,2.7,5.3,1.9,cluster2
112,6.8,3,5.5,2.1,cluster2
113,5.7,2.5,5,2,cluster0
114,5.8,2.8,5.1,2.4,cluster2
115,6.4,3.2,5.3,2.3,cluster2
116,6.5,3,5.5,1.8,cluster2
117,7.7,3.8,6.7,2.2,cluster2
118,7.7,2.6,6.9,2.3,cluster2
119,6,2.2,5,1.5,cluster0
120,6.9,3.2,5.7,2.3,cluster2
121,5.6,2.8,4.9,2,cluster0
122,7.7,2.8,6.7,2,cluster2
123,6.3,2.7,4.9,1.8,cluster0
124,6.7,3.3,5.7,2.1,cluster2
125,7.2,3.2,6,1.8,cluster2
126,6.2,2.8,4.8,1.8,cluster0
127,6.1,3,4.9,1.8,cluster0
128,6.4,2.8,5.6,2.1,cluster2
129,7.2,3,5.8,1.6,cluster2
130,7.4,2.8,6.1,1.9,cluster2
131,7.9,3.8,6.4,2,cluster2
132,6.4,2.8,5.6,2.2,cluster2
133,6.3,2.8,5.1,1.5,cluster0
134,6.1,2.6,5.6,1.4,cluster0
135,7.7,3,6.1,2.3,cluster2
136,6.3,3.4,5.6,2.4,cluster2
137,6.4,3.1,5.5,1.8,cluster2
138,6,3,4.8,1.8,cluster0
139,6.9,3.1,5.4,2.1,cluster2
140,6.7,3.1,5.6,2.4,cluster2
141,6.9,3.1,5.1,2.3,cluster2
142,5.8,2.7,5.1,1.9,cluster0
143,6.8,3.2,5.9,2.3,cluster2
144,6.7,3.3,5.7,2.5,cluster2
145,6.7,3,5.2,2.3,cluster2
146,6.3,2.5,5,1.9,cluster0
147,6.5,3,5.2,2,cluster2
148,6.2,3.4,5.4,2.3,cluster2
149,5.9,3,5.1,1.8,cluster0
